code,parent_code,name,lat,lon,type
703,0,Thành phố Tây Ninh,11.375,106.1313,district
705,0,Huyện Tân Biên,11.5444,106.0116,district
706,0,Huyện Tân Châu,11.552,106.1725,district
707,0,Huyện Dương Minh Châu,11.3841,106.2308,district
708,0,Huyện Châu Thành,11.3117,106.0295,district
709,0,Thị xã Hòa Thành,11.287,106.1294,district
710,0,Huyện Gò Dầu,11.0885,106.2635,district
711,0,Huyện Bến Cầu,11.1105,106.1792,district
712,0,Thị xã Trảng Bàng,11.0299,106.3575,district
25456,703,Phường 1,11.3233,106.0905,ward
25459,703,Phường 3,11.3104,106.1074,ward
25462,703,Phường 4,11.3,106.114,ward
25465,703,Phường Hiệp Ninh,11.3162,106.1199,ward
25468,703,Phường 2,11.3109,106.0919,ward
25471,703,Xã Thạnh Tân,11.3765,106.1699,ward
25474,703,Xã Tân Bình,11.385,106.1169,ward
25477,703,Xã Bình Minh,11.365,106.0817,ward
25480,703,Phường Ninh Sơn,11.3624,106.1287,ward
25483,703,Phường Ninh Thạnh,11.3365,106.1493,ward
25486,705,Thị trấn Tân Biên,11.5449,106.0111,ward
25489,705,Xã Tân Lập,11.6927,106.0288,ward
25492,705,Xã Thạnh Bắc,11.6783,106.0875,ward
25495,705,Xã Tân Bình,11.385,106.1169,ward
25498,705,Xã Thạnh Bình,11.5474,106.068,ward
25501,705,Xã Thạnh Tây,11.5469,105.9759,ward
25504,705,Xã Hòa Hiệp,11.4996,105.9347,ward
25507,705,Xã Tân Phong,11.4944,106.0288,ward
25510,705,Xã Mỏ Công,11.4556,106.0346,ward
25513,705,Xã Trà Vong,11.4258,106.0758,ward
25516,706,Thị trấn Tân Châu,11.5495,106.1728,ward
25519,706,Xã Tân Hà,11.7242,106.1522,ward
25522,706,Xã Tân Đông,11.6805,106.2404,ward
25525,706,Xã Tân Hội,11.6626,106.1699,ward
25528,706,Xã Tân Hòa,11.6153,106.417,ward
25531,706,Xã Suối Ngô,11.6207,106.3228,ward
25534,706,Xã Suối Dây,11.5498,106.2169,ward
25537,706,Xã Tân Hiệp,11.5965,106.1699,ward
25540,706,Xã Thạnh Đông,11.5551,106.1228,ward
25543,706,Xã Tân Thành,11.5017,106.2875,ward
25546,706,Xã Tân Phú,11.5098,106.1463,ward
25549,706,Xã Tân Hưng,11.4644,106.1699,ward
25552,707,Thị trấn Dương Minh Châu,11.3865,106.2375,ward
25555,707,Xã Suối Đá,11.4385,106.2404,ward
25558,707,Xã Phan,11.3521,106.2026,ward
25561,707,Xã Phước Ninh,11.486,106.3699,ward
25564,707,Xã Phước Minh,11.3027,106.3111,ward
25567,707,Xã Bàu Năng,11.3165,106.164,ward
25570,707,Xã Chà Là,11.308,106.2169,ward
25573,707,Xã Cầu Khởi,11.2686,106.2346,ward
25576,707,Xã Bến Củi,11.2575,106.3346,ward
25579,707,Xã Lộc Ninh,11.2602,106.2875,ward
25582,707,Xã Truông Mít,11.2163,106.2875,ward
25585,708,Thị trấn Châu Thành,11.3104,106.0258,ward
25588,708,Xã Hảo Đước,11.365,105.9817,ward
25591,708,Xã Phước Vinh,11.4116,105.9347,ward
25594,708,Xã Đồng Khởi,11.3831,106.0523,ward
25597,708,Xã Thái Bình,11.345,106.0464,ward
25600,708,Xã An Cơ,11.409,105.9817,ward
25603,708,Xã Biên Giới,11.3534,105.8936,ward
25606,708,Xã Hòa Thạnh,11.268,106.1463,ward
25609,708,Xã Trí Bình,11.3256,105.9994,ward
25612,708,Xã Hòa Hội,11.3004,105.9582,ward
25615,708,Xã An Bình,11.2791,106.0464,ward
25618,708,Xã Thanh Điền,11.2661,106.0817,ward
25621,708,Xã Thành Long,11.2461,105.9465,ward
25624,708,Xã Ninh Điền,11.2319,106.0052,ward
25627,708,Xã Long Vĩnh,11.2061,106.0758,ward
25630,709,Phường Long Hoa,11.2829,106.1257,ward
25633,709,Phường Hiệp Tân,11.2868,106.1052,ward
25636,709,Phường Long Thành Bắc,11.2877,106.1375,ward
25639,709,Xã Trường Hòa,11.2726,106.164,ward
25642,709,Xã Trường Đông,11.239,106.1757,ward
25645,709,Phường Long Thành Trung,11.2726,106.114,ward
25648,709,Xã Trường Tây,11.26,106.1434,ward
25651,709,Xã Long Thành Nam,11.2503,106.1199,ward
25654,710,Thị trấn Gò Dầu,11.0888,106.2669,ward
25657,710,Xã Thạnh Đức,11.1983,106.2169,ward
25660,710,Xã Cẩm Giang,11.1848,106.164,ward
25663,710,Xã Hiệp Thạnh,11.1577,106.2581,ward
25666,710,Xã Bàu Đồn,11.177,106.3052,ward
25669,710,Xã Phước Thạnh,11.1229,106.2934,ward
25672,710,Xã Phước Đông,11.1209,106.3287,ward
25675,710,Xã Phước Trạch,11.1152,106.2346,ward
25678,710,Xã Thanh Phước,11.0791,106.2934,ward
25681,711,Thị trấn Bến Cầu,11.1155,106.1787,ward
25684,711,Xã Long Chữ,11.1816,106.1228,ward
25687,711,Xã Long Phước,11.1648,106.0288,ward
25690,711,Xã Long Giang,11.1552,106.1052,ward
25693,711,Xã Tiên Thuận,11.1365,106.1463,ward
25696,711,Xã Long Khánh,11.1387,106.1231,ward
25699,711,Xã Lợi Thuận,11.1062,106.1993,ward
25702,711,Xã Long Thuận,11.0997,106.1169,ward
25705,711,Xã An Thạnh,11.0714,106.2346,ward
25708,712,Phường Trảng Bàng,11.0346,106.3552,ward
25711,712,Xã Đôn Thuận,11.1905,106.3582,ward
25714,712,Xã Hưng Thuận,11.144,106.4053,ward
25717,712,Phường Lộc Hưng,11.1016,106.3817,ward
25720,712,Phường Gia Lộc,11.0591,106.3582,ward
25723,712,Phường Gia Bình,11.0565,106.3052,ward
25729,712,Xã Phước Bình,11.1903,106.3289,ward
25732,712,Phường An Tịnh,11.0252,106.3909,ward
25735,712,Phường An Hòa,11.034,106.3169,ward
25738,712,Xã Phước Chỉ,10.9999,106.2404,ward
